prompt_id,domain,subcategory,prompt_text,success_criteria,expected_primary_contacts,expected_root_motion,expected_arm_role,current_motionbricks_support,motionbricks_mode_hint,evaluation_notes
sport_001,acrobatics,cartwheel_left,Perform a slow cartwheel to the left and recover to standing.,hands contact floor; body inverts laterally; stable final stance,feet;hands,lateral_inversion,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_002,acrobatics,cartwheel_right,Perform a slow cartwheel to the right and recover to standing.,hands contact floor; body inverts laterally; stable final stance,feet;hands,lateral_inversion,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_003,acrobatics,roundoff,Perform a cautious roundoff-like half cartwheel and land facing backward.,hand support; yaw change; two-foot landing,feet;hands,lateral_inversion,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_004,acrobatics,forward_roll,Perform a controlled forward roll and recover to kneeling.,body-floor roll; low impact; controlled kneel,body_floor;hands;knees,floor_roll,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_005,acrobatics,side_roll,Roll sideways on the floor and recover to a crouched stance.,side roll; low root; crouch recovery,body_floor;hands;feet,floor_roll,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_006,acrobatics,handstand_kickup,Kick up toward a brief handstand and return both feet to the floor.,hand support; inverted hips; controlled return,hands;feet,vertical_inversion,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_007,acrobatics,backbend_bridge,Lower into a backbend bridge and return to standing.,hands and feet support; arched torso; stable recovery,hands;feet,deep_extension,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_008,acrobatics,burpee,"Squat down, kick the legs back to a plank, return the feet under the body, and stand.",squat; plank; stand recovery,feet;hands,low_transition,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_009,acrobatics,split_squat_jump,Perform a small split-squat jump switching which foot is forward.,brief flight; leg switch; controlled landing,feet,aerial_or_impulsive,natural_or_unspecified,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_010,acrobatics,knee_slide_recovery,Slide forward briefly on both knees and recover to kneeling.,knee contact; forward slide; controlled stop,knees;feet,low_transition,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_011,soccer,soccer_inside_pass_right,Step forward and pass an imaginary soccer ball with the inside of the right foot.,right-foot swing; planted left support; controlled recovery,feet,mostly_stationary,balance,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_012,soccer,soccer_inside_pass_left,Step forward and pass an imaginary soccer ball with the inside of the left foot.,left-foot swing; planted right support; controlled recovery,feet,mostly_stationary,balance,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_013,soccer,soccer_power_shot,Take two approach steps and perform a powerful right-foot soccer shot.,approach; large right-leg swing; stable landing,feet,forward_or_task_dependent,balance,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_014,soccer,soccer_dribble,Dribble an imaginary soccer ball forward with alternating light taps.,forward progress; alternating foot taps; no fall,feet,forward_or_task_dependent,natural_or_unspecified,__PARTIAL__,walk,Available mode may test coarse locomotion or style only; sport-specific limb/object semantics are not supported.
sport_015,soccer,soccer_goalkeeper_dive,Dive sideways like a goalkeeper and recover to the ground safely.,lateral launch; body-floor contact; controlled landing,body_floor;hands,lateral_fall_recovery,support_or_recovery,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_016,soccer,soccer_trap_ball,Lift the right foot to trap an imaginary soccer ball and set it down softly.,single-leg support; foot lift; controlled set-down,feet,mostly_stationary,balance,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_017,baseball,baseball_pitch_right,Step forward and throw an overhand baseball pitch with the right arm.,right-arm windup; forward step; follow-through,feet,forward_or_task_dependent,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_018,baseball,baseball_bat_swing_right,Swing an imaginary baseball bat from the right-handed stance.,two-hand swing; torso rotation; feet stable,feet,mostly_stationary_turn,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_019,baseball,baseball_bat_swing_left,Swing an imaginary baseball bat from the left-handed stance.,two-hand swing; torso rotation; feet stable,feet,mostly_stationary_turn,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_020,baseball,baseball_field_grounder,Shuffle right and bend down to field a rolling ground ball.,lateral steps; low reach; recover upright,feet,rightward_low_transition,task_constrained,__PARTIAL__,walk_right,Available mode may test coarse locomotion or style only; sport-specific limb/object semantics are not supported.
sport_021,baseball,baseball_catch_fly_ball,Backpedal and raise both hands to catch an imaginary fly ball.,backward steps; hands overhead; stable final pose,feet,backward,task_constrained,__PARTIAL__,injured_walk,Available mode may test coarse locomotion or style only; sport-specific limb/object semantics are not supported.
sport_022,baseball,baseball_slide_base,Perform a feet-first slide into an imaginary base and stop safely.,low transition; floor contact; controlled stop,body_floor;feet,low_transition,support_or_recovery,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_023,basketball,basketball_free_throw,Bend the knees and shoot an imaginary basketball free throw.,knee bend; both arms extend upward; stable feet,feet,mostly_stationary,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_024,basketball,basketball_jump_shot,Perform a small jump shot with both arms extending overhead.,brief flight; overhead release; controlled landing,feet,aerial_or_impulsive,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_025,basketball,basketball_defensive_slide,Defensive-slide two steps to the left with knees bent and arms out.,left lateral motion; low stance; arms wide,feet,leftward,task_constrained,__PARTIAL__,walk_left,Available mode may test coarse locomotion or style only; sport-specific limb/object semantics are not supported.
sport_026,basketball,basketball_dribble_low,Crouch slightly and mime a low right-hand basketball dribble while stepping forward.,right hand cyclic low motion; forward steps; stable trunk,feet,forward_or_task_dependent,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_027,racket_sports,tennis_forehand,Step and swing an imaginary tennis forehand across the body.,one-step weight shift; arm swing; torso rotation,feet,mostly_stationary_turn,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_028,racket_sports,tennis_backhand,Step and swing an imaginary two-handed tennis backhand.,two-hand swing; torso rotation; stable stance,feet,mostly_stationary_turn,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_029,racket_sports,tennis_serve,Toss an imaginary ball and perform an overhead tennis serve.,overhead arm swing; trunk extension; stable recovery,feet,mostly_stationary,task_constrained,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_030,martial_arts,front_kick_right,Lift the right knee and perform a controlled forward front kick.,single-leg support; right kick; stable recovery,feet,mostly_stationary,balance,__PARTIAL__,walk_gun,Available mode may test coarse locomotion or style only; sport-specific limb/object semantics are not supported.
sport_031,martial_arts,roundhouse_kick_left,Pivot and perform a controlled left roundhouse kick.,support-foot pivot; left leg swing; recovery,feet,mostly_stationary_turn,balance,__PARTIAL__,walk_happy_dance,Available mode may test coarse locomotion or style only; sport-specific limb/object semantics are not supported.
sport_032,track_field,sprinter_start,Start from a crouched sprint stance and take two explosive steps forward.,low start; fast forward acceleration; no hand collapse,feet;hands,forward_or_task_dependent,support_or_recovery,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
