kind,group,prompt_id,short,label,video,poster
metric_failure,torque_demand,hrb_062,inspect_machine,torque 12.8x,assets/videos/appendix_metric_failures/torque_demand__hrb_062_inspect_machine.mp4,assets/video_posters/appendix_metric_failures/torque_demand__hrb_062_inspect_machine.jpg
metric_failure,torque_demand,hrb_025,air_guitar,torque 3.0x,assets/videos/appendix_metric_failures/torque_demand__hrb_025_air_guitar.mp4,assets/video_posters/appendix_metric_failures/torque_demand__hrb_025_air_guitar.jpg
metric_failure,torque_demand,hrb_094,forward_roll,torque 16.7x,assets/videos/appendix_metric_failures/torque_demand__hrb_094_forward_roll.mp4,assets/video_posters/appendix_metric_failures/torque_demand__hrb_094_forward_roll.jpg
metric_failure,root_wrench,hrb_002,backward_walk,root 7353N,assets/videos/appendix_metric_failures/root_wrench__hrb_002_backward_walk.mp4,assets/video_posters/appendix_metric_failures/root_wrench__hrb_002_backward_walk.jpg
metric_failure,root_wrench,hrb_053,tray_walk,root 11211N,assets/videos/appendix_metric_failures/root_wrench__hrb_053_tray_walk.mp4,assets/video_posters/appendix_metric_failures/root_wrench__hrb_053_tray_walk.jpg
metric_failure,root_wrench,hrb_089,slope_up,root 7350N,assets/videos/appendix_metric_failures/root_wrench__hrb_089_slope_up.mp4,assets/video_posters/appendix_metric_failures/root_wrench__hrb_089_slope_up.jpg
metric_failure,self_contact,hrb_005,turn_in_place,75% frames,assets/videos/appendix_metric_failures/self_contact__hrb_005_turn_in_place.mp4,assets/video_posters/appendix_metric_failures/self_contact__hrb_005_turn_in_place.jpg
metric_failure,self_contact,hrb_046,press_panel,73% frames,assets/videos/appendix_metric_failures/self_contact__hrb_046_press_panel.mp4,assets/video_posters/appendix_metric_failures/self_contact__hrb_046_press_panel.jpg
metric_failure,self_contact,hrb_079,point_left,100% frames,assets/videos/appendix_metric_failures/self_contact__hrb_079_point_left.mp4,assets/video_posters/appendix_metric_failures/self_contact__hrb_079_point_left.jpg
metric_failure,nonfoot_floor,hrb_027,hand_crawl,100% frames,assets/videos/appendix_metric_failures/nonfoot_floor__hrb_027_hand_crawl.mp4,assets/video_posters/appendix_metric_failures/nonfoot_floor__hrb_027_hand_crawl.jpg
metric_failure,nonfoot_floor,hrb_028,elbow_crawl,100% frames,assets/videos/appendix_metric_failures/nonfoot_floor__hrb_028_elbow_crawl.mp4,assets/video_posters/appendix_metric_failures/nonfoot_floor__hrb_028_elbow_crawl.jpg
metric_failure,nonfoot_floor,hrb_098,knee_slide,78% frames,assets/videos/appendix_metric_failures/nonfoot_floor__hrb_098_knee_slide.mp4,assets/video_posters/appendix_metric_failures/nonfoot_floor__hrb_098_knee_slide.jpg
metric_failure,contact_support,hrb_007,vertical_jump,support/contact,assets/videos/appendix_metric_failures/contact_support__hrb_007_vertical_jump.mp4,assets/video_posters/appendix_metric_failures/contact_support__hrb_007_vertical_jump.jpg
metric_failure,contact_support,hrb_018,happy_dance,contact artifact,assets/videos/appendix_metric_failures/contact_support__hrb_018_happy_dance.mp4,assets/video_posters/appendix_metric_failures/contact_support__hrb_018_happy_dance.jpg
metric_failure,contact_support,hrb_088,duck_under_bar,contact artifact,assets/videos/appendix_metric_failures/contact_support__hrb_088_duck_under_bar.mp4,assets/video_posters/appendix_metric_failures/contact_support__hrb_088_duck_under_bar.jpg
metric_failure,sonic_trackability,hrb_001,forward_walk,fall marker 3.46s,assets/videos/appendix_metric_failures/sonic_trackability__hrb_001_forward_walk.mp4,assets/video_posters/appendix_metric_failures/sonic_trackability__hrb_001_forward_walk.jpg
metric_failure,sonic_trackability,hrb_004,side_shuffle_right,fall marker 1.72s,assets/videos/appendix_metric_failures/sonic_trackability__hrb_004_side_shuffle_right.mp4,assets/video_posters/appendix_metric_failures/sonic_trackability__hrb_004_side_shuffle_right.jpg
metric_failure,sonic_trackability,hrb_051,carry_box,fall marker 2.78s,assets/videos/appendix_metric_failures/sonic_trackability__hrb_051_carry_box.mp4,assets/video_posters/appendix_metric_failures/sonic_trackability__hrb_051_carry_box.jpg
repair_pair,athletic_stress,hrb_094,forward_roll,delta risk -17.3; __NO__->__NO__,assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_094_forward_roll__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/athletic_stress/repair_delta__hrb_094_forward_roll__no_to_no.jpg
repair_pair,athletic_stress,hrb_100,handstand_kickup,delta risk -8.9; __NO__->__NO__,assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_100_handstand_kickup__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/athletic_stress/repair_delta__hrb_100_handstand_kickup__no_to_no.jpg
repair_pair,athletic_stress,hrb_093,cartwheel_attempt,delta risk -8.0; __NO__->__YES__,assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_093_cartwheel_attempt__no_to_yes.mp4,assets/video_posters/appendix_repair_by_category/athletic_stress/repair_delta__hrb_093_cartwheel_attempt__no_to_yes.jpg
repair_pair,athletic_stress,hrb_099,side_roll_recovery,delta risk -5.9; __NO__->__NO__,assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_099_side_roll_recovery__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/athletic_stress/repair_delta__hrb_099_side_roll_recovery__no_to_no.jpg
repair_pair,athletic_stress,hrb_095,burpee,delta risk -5.6; __NO__->__NO__,assets/videos/appendix_repair_by_category/athletic_stress/repair_delta__hrb_095_burpee__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/athletic_stress/repair_delta__hrb_095_burpee__no_to_no.jpg
repair_pair,balance_recovery,hrb_070,backward_recovery,delta risk -9.6; __YES__->__YES__,assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_070_backward_recovery__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/balance_recovery/repair_delta__hrb_070_backward_recovery__yes_to_yes.jpg
repair_pair,balance_recovery,hrb_066,single_leg_balance_left,delta risk -5.1; __NO__->__NO__,assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_066_single_leg_balance_left__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/balance_recovery/repair_delta__hrb_066_single_leg_balance_left__no_to_no.jpg
repair_pair,balance_recovery,hrb_069,stumble_right,delta risk -2.7; __YES__->__YES__,assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_069_stumble_right__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/balance_recovery/repair_delta__hrb_069_stumble_right__yes_to_yes.jpg
repair_pair,balance_recovery,hrb_071,ankle_sway,delta risk -1.8; __YES__->__YES__,assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_071_ankle_sway__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/balance_recovery/repair_delta__hrb_071_ankle_sway__yes_to_yes.jpg
repair_pair,balance_recovery,hrb_073,toe_stand,delta risk -1.7; __YES__->__YES__,assets/videos/appendix_repair_by_category/balance_recovery/repair_delta__hrb_073_toe_stand__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/balance_recovery/repair_delta__hrb_073_toe_stand__yes_to_yes.jpg
repair_pair,communication_safety,hrb_082,yield_step,delta risk -9.2; __YES__->__YES__,assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_082_yield_step__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/communication_safety/repair_delta__hrb_082_yield_step__yes_to_yes.jpg
repair_pair,communication_safety,hrb_078,stop_signal,delta risk -2.8; __YES__->__YES__,assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_078_stop_signal__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/communication_safety/repair_delta__hrb_078_stop_signal__yes_to_yes.jpg
repair_pair,communication_safety,hrb_084,direct_traffic,delta risk -1.9; __YES__->__YES__,assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_084_direct_traffic__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/communication_safety/repair_delta__hrb_084_direct_traffic__yes_to_yes.jpg
repair_pair,communication_safety,hrb_079,point_left,delta risk -1.9; __NO__->__NO__,assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_079_point_left__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/communication_safety/repair_delta__hrb_079_point_left__no_to_no.jpg
repair_pair,communication_safety,hrb_083,look_around,delta risk -1.8; __YES__->__YES__,assets/videos/appendix_repair_by_category/communication_safety/repair_delta__hrb_083_look_around__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/communication_safety/repair_delta__hrb_083_look_around__yes_to_yes.jpg
repair_pair,dance_expressive,hrb_018,happy_dance,delta risk -11.7; __NO__->__NO__,assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_018_happy_dance__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dance_expressive/repair_delta__hrb_018_happy_dance__no_to_no.jpg
repair_pair,dance_expressive,hrb_026,salute_step,delta risk -10.6; __NO__->__NO__,assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_026_salute_step__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dance_expressive/repair_delta__hrb_026_salute_step__no_to_no.jpg
repair_pair,dance_expressive,hrb_024,scared_sneak,delta risk -8.8; __YES__->__YES__,assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_024_scared_sneak__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/dance_expressive/repair_delta__hrb_024_scared_sneak__yes_to_yes.jpg
repair_pair,dance_expressive,hrb_022,disco_point,delta risk -8.3; __NO__->__NO__,assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_022_disco_point__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dance_expressive/repair_delta__hrb_022_disco_point__no_to_no.jpg
repair_pair,dance_expressive,hrb_016,moonwalk,delta risk -2.9; __YES__->__YES__,assets/videos/appendix_repair_by_category/dance_expressive/repair_delta__hrb_016_moonwalk__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/dance_expressive/repair_delta__hrb_016_moonwalk__yes_to_yes.jpg
repair_pair,dynamic_locomotion,hrb_002,backward_walk,delta risk -21.2; __NO__->__YES__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_002_backward_walk__no_to_yes.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_002_backward_walk__no_to_yes.jpg
repair_pair,dynamic_locomotion,hrb_001,forward_walk,delta risk -18.4; __NO__->__NO__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_001_forward_walk__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_001_forward_walk__no_to_no.jpg
repair_pair,dynamic_locomotion,hrb_007,vertical_jump,delta risk -8.2; __NO__->__NO__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_007_vertical_jump__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_007_vertical_jump__no_to_no.jpg
repair_pair,dynamic_locomotion,hrb_012,lateral_bound,delta risk -6.5; __YES__->__YES__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_012_lateral_bound__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_012_lateral_bound__yes_to_yes.jpg
repair_pair,dynamic_locomotion,hrb_004,side_shuffle_right,delta risk -6.0; __NO__->__NO__,assets/videos/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_004_side_shuffle_right__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/dynamic_locomotion/repair_delta__hrb_004_side_shuffle_right__no_to_no.jpg
repair_pair,floor_low_posture,hrb_034,pushup_pose,delta risk -11.0; __YES__->__YES__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_034_pushup_pose__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_034_pushup_pose__yes_to_yes.jpg
repair_pair,floor_low_posture,hrb_029,bear_crawl,delta risk -10.4; __NO__->__NO__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_029_bear_crawl__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_029_bear_crawl__no_to_no.jpg
repair_pair,floor_low_posture,hrb_027,hand_crawl,delta risk -6.4; __NO__->__NO__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_027_hand_crawl__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_027_hand_crawl__no_to_no.jpg
repair_pair,floor_low_posture,hrb_035,sit_to_stand,delta risk -3.1; __NO__->__NO__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_035_sit_to_stand__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_035_sit_to_stand__no_to_no.jpg
repair_pair,floor_low_posture,hrb_036,roll_to_kneel,delta risk -0.7; __NO__->__NO__,assets/videos/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_036_roll_to_kneel__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/floor_low_posture/repair_delta__hrb_036_roll_to_kneel__no_to_no.jpg
repair_pair,loco_manipulation,hrb_053,tray_walk,delta risk -21.4; __NO__->__YES__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_053_tray_walk__no_to_yes.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_053_tray_walk__no_to_yes.jpg
repair_pair,loco_manipulation,hrb_051,carry_box_front,delta risk -14.6; __NO__->__YES__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_051_carry_box_front__no_to_yes.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_051_carry_box_front__no_to_yes.jpg
repair_pair,loco_manipulation,hrb_061,carry_turn,delta risk -10.9; __YES__->__YES__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_061_carry_turn__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_061_carry_turn__yes_to_yes.jpg
repair_pair,loco_manipulation,hrb_054,push_cart,delta risk -7.4; __YES__->__YES__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_054_push_cart__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_054_push_cart__yes_to_yes.jpg
repair_pair,loco_manipulation,hrb_062,inspect_machine,delta risk -5.9; __NO__->__NO__,assets/videos/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_062_inspect_machine__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/loco_manipulation/repair_delta__hrb_062_inspect_machine__no_to_no.jpg
repair_pair,manipulation_stance,hrb_046,press_panel_sequence,delta risk -6.4; __NO__->__NO__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_046_press_panel_sequence__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_046_press_panel_sequence__no_to_no.jpg
repair_pair,manipulation_stance,hrb_043,wipe_table,delta risk -2.4; __YES__->__YES__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_043_wipe_table__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_043_wipe_table__yes_to_yes.jpg
repair_pair,manipulation_stance,hrb_040,pick_floor_left,delta risk -2.2; __NO__->__NO__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_040_pick_floor_left__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_040_pick_floor_left__no_to_no.jpg
repair_pair,manipulation_stance,hrb_039,pick_floor_right,delta risk -0.3; __NO__->__NO__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_039_pick_floor_right__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_039_pick_floor_right__no_to_no.jpg
repair_pair,manipulation_stance,hrb_049,lean_right_reach,delta risk -0.1; __YES__->__YES__,assets/videos/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_049_lean_right_reach__yes_to_yes.mp4,assets/video_posters/appendix_repair_by_category/manipulation_stance/repair_delta__hrb_049_lean_right_reach__yes_to_yes.jpg
repair_pair,terrain_obstacle,hrb_089,slope_up,delta risk -15.1; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_089_slope_up__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_089_slope_up__no_to_no.jpg
repair_pair,terrain_obstacle,hrb_092,tight_turn_back,delta risk -9.9; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_092_tight_turn_back__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_092_tight_turn_back__no_to_no.jpg
repair_pair,terrain_obstacle,hrb_091,swerve_left,delta risk -9.2; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_091_swerve_left__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_091_swerve_left__no_to_no.jpg
repair_pair,terrain_obstacle,hrb_088,duck_under_bar,delta risk -6.1; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_088_duck_under_bar__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_088_duck_under_bar__no_to_no.jpg
repair_pair,terrain_obstacle,hrb_085,step_over_right,delta risk -5.0; __NO__->__NO__,assets/videos/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_085_step_over_right__no_to_no.mp4,assets/video_posters/appendix_repair_by_category/terrain_obstacle/repair_delta__hrb_085_step_over_right__no_to_no.jpg
